gene_id	gene_name	EV_1	EV_2	EV_3	KO_1	KO_2	KO_3	siCONTEV_1	siCONTEV_2	siCONTEV_3	siCONTKO_1	siCONTKO_2	siCONTKO_3	siINSEV_1	siINSEV_2	siINSEV_3	siINSKO_1	siINSKO_2	siINSKO_3
ENSG00000211725	TRBV5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211727	TRBV7-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211728	TRBV5-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211731	TRBV5-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211734	TRBV5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211739	TRBV12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211745	TRBV4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211746	TRBV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211747	TRBV20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211749	TRBV23-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211750	TRBV24-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211751	TRBC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211752	TRBV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211753	TRBV28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211764	TRBJ2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211765	TRBJ2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211766	TRBJ2-2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211767	TRBJ2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211768	TRBJ2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211769	TRBJ2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211770	TRBJ2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211771	TRBJ2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211772	TRBC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211776	TRAV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211777	TRAV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211778	TRAV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211779	TRAV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211780	TRAV6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211781	TRAV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211782	TRAV8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211783	TRAV9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211784	TRAV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211785	TRAV12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211786	TRAV8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211787	TRAV8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211788	TRAV13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211789	TRAV12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211790	TRAV8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211791	TRAV13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211792	TRAV14DV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211793	TRAV9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211794	TRAV12-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211795	TRAV8-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211796	TRAV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211797	TRAV17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211798	TRAV18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211799	TRAV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211800	TRAV20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211801	TRAV21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211802	TRAV22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211803	TRAV23DV6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211804	TRDV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211805	TRAV24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211806	TRAV25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211807	TRAV26-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211808	TRAV8-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211809	TRAV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211810	TRAV29DV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211812	TRAV26-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211813	TRAV34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211814	TRAV35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211815	TRAV36DV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211816	TRAV38-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211817	TRAV38-2DV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211818	TRAV39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211819	TRAV40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211820	TRAV41	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSG00000211821	TRDV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211825	TRDJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211826	TRDJ4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211827	TRDJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211828	TRDJ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211829	TRDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211831	TRAJ61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211832	TRAJ59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211833	TRAJ58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211834	TRAJ57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211835	TRAJ56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211836	TRAJ54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211837	TRAJ53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211838	TRAJ52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211839	TRAJ50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211840	TRAJ49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211841	TRAJ48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211842	TRAJ47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211843	TRAJ46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211844	TRAJ45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211845	TRAJ44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211846	TRAJ43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211847	TRAJ42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
