"gene_id","gene_name","lfc_KOvsEV","lfc_EV_siINS","lfc_KO_siINS","EV_padj","KO_padj","Base_padj","max_padj","dir_KOvsEV","dir_EV_siINS","dir_KO_siINS","direction","direction_cluster"
"ENSG00000044574","HSPA5",0.764355057540519,-0.836590675307112,-1.30788978668655,1.47202901371472e-22,3.57625374170822e-55,1.14495273737169e-19,1.14495273737169e-19,"up","down","down","up_down_down",1
"ENSG00000099958","DERL3",1.96876185998885,-1.11343603794366,-1.25270669862818,1.39263136796397e-09,1.13508160651297e-13,2.87052368406897e-30,1.39263136796397e-09,"up","down","down","up_down_down",1
"ENSG00000155660","PDIA4",1.58850291722669,-0.637544230302532,-1.44510160654492,1.39398883218417e-09,2.96124496746242e-50,1.65452772219704e-59,1.39398883218417e-09,"up","down","down","up_down_down",1
"ENSG00000249715","FER1L5",1.80295854312922,-1.53734298006544,-1.05539146985116,1.0082134757479e-11,1.69896409910073e-09,8.21095216115114e-24,1.69896409910073e-09,"up","down","down","up_down_down",1
"ENSG00000196932","TMEM26",1.64136913135763,-0.898877105738354,-1.0314839965353,6.61099290252964e-09,1.36501460802052e-13,5.03912155157706e-32,6.61099290252964e-09,"up","down","down","up_down_down",1
"ENSG00000134333","LDHA",0.711417778996763,-0.689808070086316,-0.704509872944964,1.28313714664373e-08,4.16751682117953e-09,4.51300527642195e-10,1.28313714664373e-08,"up","down","down","up_down_down",1
"ENSG00000166900","STX3",0.416306393799193,-0.375549142079651,-0.450111956501845,2.48091221965928e-08,7.46958096220684e-13,5.50729716635799e-12,2.48091221965928e-08,"up","down","down","up_down_down",1
"ENSG00000166598","HSP90B1",0.942621257323526,-0.689058745905305,-1.22803752186905,4.90381590170696e-08,1.17207889148598e-24,2.65107345321127e-15,4.90381590170696e-08,"up","down","down","up_down_down",1
"ENSG00000149428","HYOU1",0.390768086570117,-0.442253029129575,-0.904051133531583,1.77599810841682e-07,2.28245525016469e-32,2.95831085948191e-07,2.95831085948191e-07,"up","down","down","up_down_down",1
"ENSG00000112759","SLC29A1",1.0535703717748,-0.5263608653701,-0.49258214315402,1.21097755333505e-07,3.39449042521128e-07,5.63416250633467e-32,3.39449042521128e-07,"up","down","down","up_down_down",1
"ENSG00000125844","RRBP1",0.441719973715818,-0.976345034094139,-0.87326292195516,5.66211678140634e-28,3.61466298573932e-22,6.33334912378076e-07,6.33334912378076e-07,"up","down","down","up_down_down",1
"ENSG00000145050","MANF",0.863612985623167,-0.542115552043548,-0.979106168020631,3.55937967574259e-06,4.20323858496231e-20,1.52128824201489e-16,3.55937967574259e-06,"up","down","down","up_down_down",1
"ENSG00000111305","GSG1",3.21213123691416,-1.17861310556444,-0.682992535147473,7.87988676667331e-08,2.46734087784403e-05,2.34941068571346e-77,2.46734087784403e-05,"up","down","down","up_down_down",1
"ENSG00000013583","HEBP1",0.416703255127854,-0.449215645561628,-0.470446288959114,7.22061291362113e-05,5.75494185468424e-06,1.47581451081836e-05,7.22061291362113e-05,"up","down","down","up_down_down",1
"ENSG00000153789","FAM92B",0.711691000336804,-0.730592476474036,-0.55197312623314,4.1455386032744e-07,0.000108432945767602,8.92378779823573e-08,0.000108432945767602,"up","down","down","up_down_down",1
"ENSG00000103319","EEF2K",0.412796212300577,-0.444128229888211,-0.534678712170464,0.000151261647420762,7.2316105332559e-07,4.05620840313763e-05,0.000151261647420762,"up","down","down","up_down_down",1
"ENSG00000178951","ZBTB7A",0.417644199014974,-0.387571060789824,-0.390869594521977,0.000321849981654849,7.88743983783677e-05,5.44551385560205e-06,0.000321849981654849,"up","down","down","up_down_down",1
"ENSG00000256925","ADGRA1-AS1",1.43155753571436,-0.751044559247322,-0.684659631719057,0.000430211767972923,0.000377854377805874,2.1887861921834e-13,0.000430211767972923,"up","down","down","up_down_down",1
"ENSG00000213853","EMP2",1.00018064714344,-0.37605531272218,-0.358007449469737,0.000451039770138506,0.000308603549196813,8.99410534045847e-28,0.000451039770138506,"up","down","down","up_down_down",1
"ENSG00000090520","DNAJB11",0.492137901969445,-0.370460901511157,-0.634468952429987,0.000549701215594284,4.61406948240261e-11,8.96702816533439e-08,0.000549701215594284,"up","down","down","up_down_down",1
"ENSG00000176438","SYNE3",0.705456846685806,-0.787781417672968,-0.578658970587758,3.83731219513065e-06,0.000572257986164454,8.66300970993172e-06,0.000572257986164454,"up","down","down","up_down_down",1
"ENSG00000127022","CANX",0.616578245783057,-0.354598357059333,-0.581543171936196,0.000652144910038575,8.5202440305419e-10,6.41035979914692e-12,0.000652144910038575,"up","down","down","up_down_down",1
"ENSG00000125457","MIF4GD",0.624873744476307,-0.529983413206161,-0.361368262299502,4.01947731094527e-05,0.00127954600764163,4.35043560650564e-09,0.00127954600764163,"up","down","down","up_down_down",1
"ENSG00000163703","CRELD1",0.49751245374807,-0.394807585822648,-0.566944232593596,0.00274497815326047,2.62153683078127e-06,8.70177755752956e-06,0.00274497815326047,"up","down","down","up_down_down",1
"ENSG00000175197","DDIT3",0.357363624540049,-0.654058613129794,-0.813363963306543,3.18127568559678e-06,1.26993373691796e-09,0.00449915371696739,0.00449915371696739,"up","down","down","up_down_down",1
"ENSG00000171234","UGT2B7",2.77123705685557,-0.541034444279669,-0.45280034510121,0.00284235518092169,0.00474124183793076,1.036048676755e-62,0.00474124183793076,"up","down","down","up_down_down",1
"ENSG00000128228","SDF2L1",0.926905981643344,-0.462551685750172,-0.364185463126514,0.00223486722422709,0.00577784636540906,1.48303975577074e-12,0.00577784636540906,"up","down","down","up_down_down",1
"ENSG00000145626","UGT3A1",0.409035261998304,-0.392779179381639,-0.397621358975424,0.00612420919097575,0.00221274845836253,0.000857453527548494,0.00612420919097575,"up","down","down","up_down_down",1
"ENSG00000077713","SLC25A43",0.45538680871194,-0.362671297734644,-0.384437590897249,0.0076451111531084,0.00152199231078177,6.3741431335286e-05,0.0076451111531084,"up","down","down","up_down_down",1
"ENSG00000117394","SLC2A1",0.848612075119043,-0.364589375220276,-0.46637877023519,0.00872975716339623,0.000304749419510529,1.87684515060847e-12,0.00872975716339623,"up","down","down","up_down_down",1
"ENSG00000189409","MMP23B",0.640757519506171,-0.87652151763062,-0.960665218012896,0.000481063061159256,0.000327339874523116,0.00996550656073537,0.00996550656073537,"up","down","down","up_down_down",1
"ENSG00000110665","C11orf21",2.1747643395586,-0.664606713680818,-0.340838669411281,5.4335895321433e-05,0.0101193439259739,4.02665140583257e-53,0.0101193439259739,"up","down","down","up_down_down",1
"ENSG00000176381","PRR18",0.520454748987025,-0.337681595600148,-0.435888968954859,0.0151918493944704,0.000741827309623713,1.49514664867601e-05,0.0151918493944704,"up","down","down","up_down_down",1
"ENSG00000254647","INS",-2.05974846481458,-3.46927534372821,-2.98300191015929,1.6385039638293e-101,7.67120174523175e-74,9.35589539895328e-37,9.35589539895328e-37,"down","down","down","down_down_down",2
"ENSG00000148123","PLPPR1",-1.10567481845575,-0.766307638905888,-0.924946720450307,6.3283115490127e-12,1.96314942378097e-16,3.99258473571406e-25,6.3283115490127e-12,"down","down","down","down_down_down",2
"ENSG00000125741","OPA3",-0.864456420764485,-0.470181103340893,-0.459492404566471,1.81941221154626e-08,3.73443273282091e-08,2.74049559521953e-30,3.73443273282091e-08,"down","down","down","down_down_down",2
"ENSG00000129993","CBFA2T3",-0.475395764940065,-0.656664115138108,-0.580361392186416,1.69110696484512e-09,1.65678343082193e-07,2.91574054897979e-06,2.91574054897979e-06,"down","down","down","down_down_down",2
