gene_id,gene_name,comparison,raw_log2FoldChange,raw_lfcSE,stat,pvalue,padj,shrunken_log2FoldChange,shrunken_lfcSE
ENSG00000000460,C1orf112,KOsiCONT_vs_EVsiCONT,0.36377223856333335,0.11832192908479619,3.074427888195041,0.0021090670139942585,0.008071964835210214,0.31837001359249234,0.11478853974579364
ENSG00000001036,FUCA2,KOsiCONT_vs_EVsiCONT,0.3852880051284346,0.10894199600076386,3.536634349215826,4.05260320539235e-4,0.0018846245464810888,0.34506606828741665,0.10686511858841342
ENSG00000001084,GCLC,KOsiCONT_vs_EVsiCONT,-0.4169301345042338,0.09431552625341684,-4.420588540045699,9.843244350182995e-6,6.609667766440326e-5,-0.38537518662112796,0.09369389423559676
ENSG00000001167,NFYA,KOsiCONT_vs_EVsiCONT,-0.2811590569825162,0.08096590239830123,-3.4725612715262626,5.155173233216308e-4,0.0023338932012384505,-0.2611044593384884,0.07910085828421327
ENSG00000001460,STPG1,KOsiCONT_vs_EVsiCONT,0.5565016315746406,0.1261727576301131,4.4106322317696796,1.0306924236027505e-5,6.889252426438107e-5,0.5025131496625693,0.12795383368079688
ENSG00000001617,SEMA3F,KOsiCONT_vs_EVsiCONT,-0.6052484058879587,0.25463454012536113,-2.376929718921809,0.017457413993868354,0.04993150292091994,-0.41765098507763876,0.2410898987149121
ENSG00000001630,CYP51A1,KOsiCONT_vs_EVsiCONT,0.7900978862763746,0.07903483003103423,9.9968315990068,1.573510334871823e-23,7.09219416729652e-22,0.7736358648050307,0.07951565227388956
ENSG00000001631,KRIT1,KOsiCONT_vs_EVsiCONT,0.41648487125906275,0.10572585390697571,3.9392906831049337,8.172286639553008e-5,4.501773991963885e-4,0.37750350077441724,0.10461814441142196
ENSG00000002586,CD99,KOsiCONT_vs_EVsiCONT,-0.6995900707601417,0.09533138420788356,-7.338507424109007,2.1598893194482499e-13,4.1674143535710805e-12,-0.6730990174150362,0.09673008298689947
ENSG00000002587,HS3ST1,KOsiCONT_vs_EVsiCONT,-0.7849331344784138,0.21896328828059636,-3.584770491172659,3.3737475179670235e-4,0.0016028699501586276,-0.642110685114402,0.22700377899387172
ENSG00000002726,AOC1,KOsiCONT_vs_EVsiCONT,-1.4452620248606578,0.41595761567431516,-3.474541564812371,5.117270771681535e-4,0.0023181391821322154,-1.052749278153755,0.4673335149376462
