gene_id,gene_name,KOsiCONT_vs_EVsiCONT,EVsiINS_vs_EVsiCONT,KOsiINS_vs_KOsiCONT
ENSG00000006468,ETV1,-1.0257429183736135,-0.32138969367749504,-0.5060809564717776
ENSG00000013583,HEBP1,0.4167032551278545,-0.44921564556162846,-0.47044628895911356
ENSG00000021645,NRXN3,-1.1218683641318037,0.6025266664633062,0.25681201171327367
ENSG00000044574,HSPA5,0.764355057540519,-0.8365906753071116,-1.3078897866865526
ENSG00000050405,LIMA1,0.4078108830546203,-0.2764311659750366,-0.4421642311561955
ENSG00000064309,CDON,-0.5270471623762577,-0.3980244045668802,-0.41570853123974755
ENSG00000070214,SLC44A1,0.4573714258081225,-0.2439392530005802,-0.39466625588432364
ENSG00000077713,SLC25A43,0.4553868087119395,-0.3626712977346438,-0.3844375908972492
ENSG00000078804,TP53INP2,-0.7048061171710732,-0.30864485677791803,-0.5071622890489919
ENSG00000082146,STRADB,-0.35088323385348624,-0.5199135017762078,-0.6824057009464797
ENSG00000083720,OXCT1,0.18639023364920318,-0.4228115361587401,-0.4719896324200943
ENSG00000088367,EPB41L1,-0.8488884671639079,0.22881416227994017,0.17363741997450033
ENSG00000088826,SMOX,-1.7725596995014061,1.0976821128119818,1.044912059402599
ENSG00000089597,GANAB,0.26679638073768774,-0.2286682082613707,-0.27027717549175667
ENSG00000090520,DNAJB11,0.49213790196944546,-0.37046090151115746,-0.6344689524299866
ENSG00000099940,SNAP29,0.2379726674850381,0.21535707891888572,0.15606389679985241
ENSG00000099958,DERL3,1.9687618599888521,-1.1134360379436583,-1.2527066986281838
ENSG00000100027,YPEL1,-1.1001823467970382,-0.41413411857324356,-0.3113743948978738
ENSG00000100767,PAPLN,2.4584435366008672,-0.47099051740634573,-0.24522525263481598
ENSG00000101347,SAMHD1,0.337657211081931,0.2026778485334667,0.22177990058361813
ENSG00000101438,SLC32A1,-4.464427241034144,0.4386996587765474,0.8256456181752785
ENSG00000103319,EEF2K,0.41279621230057684,-0.4441282298882113,-0.534678712170464
ENSG00000103742,IGDCC4,-0.2981227482966977,-1.096136306944833,-1.0490850104377303
ENSG00000103942,HOMER2,-0.8417975329982271,0.19024306660598278,0.3490364024166554
ENSG00000106868,SUSD1,-0.5100676111619282,0.35750618080678515,0.3739433063904012
ENSG00000108179,PPIF,0.49764290250657617,0.33583153495339424,0.3621130120050112
ENSG00000108551,RASD1,-1.3859045628550977,0.6761418345750712,0.9715039048257722
ENSG00000108830,RND2,-2.095444757247031,0.3580761567702429,0.8763534034223558
ENSG00000110536,PTPMT1,0.19690779550940443,-0.3363904960565661,-0.4650253835699497
ENSG00000110665,C11orf21,2.1747643395586045,-0.6646067136808183,-0.3408386694112814
ENSG00000111186,WNT5B,0.8934074503207848,-0.7559917123009787,-0.25120843866767956
ENSG00000111305,GSG1,3.212131236914158,-1.178613105564443,-0.6829925351474733
ENSG00000112139,MDGA1,-1.2274510578392415,-0.42354196787425546,-0.9257632970422299
ENSG00000112182,BACH2,-1.6765222700281532,-0.5485983911527743,-0.5164345351652753
ENSG00000112759,SLC29A1,1.0535703717747997,-0.5263608653701002,-0.4925821431540195
ENSG00000117394,SLC2A1,0.8486120751190428,-0.3645893752202763,-0.4663787702351897
ENSG00000118495,PLAGL1,0.36382735578748493,-0.23866749907654147,-0.29239788921184195
ENSG00000120217,CD274,-1.8778117299102597,0.6039286091204737,0.6605810552463064
ENSG00000120278,PLEKHG1,-1.3245016039497177,0.6434179849903926,0.42506595322608215
ENSG00000120509,PDZD11,0.22784479137034627,-0.3325528444628478,-0.2668468689280406
ENSG00000120992,LYPLA1,0.21578859698751354,-0.20212855139836397,-0.3461137701596005
ENSG00000123091,RNF11,-0.5333456863278002,-0.3471798546580591,-0.6050278401528677
ENSG00000124493,GRM4,-0.905730088174178,-0.45162762037050197,-0.4723264598621941
ENSG00000124831,LRRFIP1,-1.4822090815946958,0.48900017556482644,0.38598344404145774
ENSG00000125457,MIF4GD,0.6248737444763071,-0.5299834132061615,-0.36136826229950175
ENSG00000125741,OPA3,-0.8644564207644854,-0.47018110334089325,-0.45949240456647056
ENSG00000125816,NKX2-4,-1.5349567039533374,0.5136990123889245,0.5652841731256782
ENSG00000125844,RRBP1,0.4417199737158181,-0.976345034094139,-0.8732629219551595
ENSG00000126767,ELK1,0.27930611470411926,-0.8427374432750534,-0.9920569345749748
ENSG00000127022,CANX,0.6165782457830566,-0.3545983570593331,-0.5815431719361963
ENSG00000128228,SDF2L1,0.9269059816433445,-0.4625516857501722,-0.36418546312651445
ENSG00000129993,CBFA2T3,-0.475395764940065,-0.6566641151381083,-0.5803613921864162
ENSG00000130703,OSBPL2,-0.13635821128270958,-0.1848939272585413,-0.2081987226753401
ENSG00000134333,LDHA,0.7114177789967627,-0.6898080700863164,-0.7045098729449637
ENSG00000135821,GLUL,0.26289113092831495,-0.3971925915776348,-0.5128554681542681
ENSG00000136731,UGGT1,0.25627347293726616,-0.20639256334442552,-0.358045870216993
ENSG00000136999,NOV,-0.8185468316502561,0.42685542424707035,0.2965126220938263
ENSG00000137168,PPIL1,0.4084252910265402,-0.26725643202747495,-0.24091319014128507
ENSG00000137198,GMPR,1.0387517103891555,-0.3261282845774613,-0.31172391452585024
ENSG00000137474,MYO7A,0.35949028168849184,-0.33180072096949015,-0.2446691153304291
ENSG00000137575,SDCBP,-0.22198235239145153,0.17619261523941182,0.18535951782528173
ENSG00000138029,HADHB,-0.17152234344099315,-0.3225723027902205,-0.3812009699610681
ENSG00000138759,FRAS1,-1.1963324782275466,-0.5933467749312307,-0.8044858102111218
ENSG00000139641,ESYT1,-0.3538163104387724,0.4199581878922691,0.24809602230218422
ENSG00000141905,NFIC,0.40497528622273904,-0.25625628284982715,-0.3133427138486464
ENSG00000143036,SLC44A3,0.7068929086172379,-0.28380328481617106,-0.27919304290885455
ENSG00000143643,TTC13,0.45849774715383357,-0.2332324795485,-0.27174642590025216
ENSG00000143870,PDIA6,0.5843629786743215,-0.29469627807006465,-0.5215366405498288
ENSG00000145050,MANF,0.8636129856231672,-0.5421155520435481,-0.9791061680206307
ENSG00000145284,SCD5,-0.8125080532142067,-0.5775845220344529,-0.7543175841243032
ENSG00000145495,MARCH6,-0.27845264829444516,-0.3329690290951629,-0.48256330582124946
ENSG00000145604,SKP2,0.6463756164529084,-0.2444865418710168,-0.45128724785511004
ENSG00000145626,UGT3A1,0.4090352619983042,-0.39277917938163925,-0.39762135897542444
ENSG00000148123,PLPPR1,-1.1056748184557548,-0.7663076389058877,-0.9249467204503073
ENSG00000149428,HYOU1,0.3907680865701165,-0.44225302912957454,-0.9040511335315834
