"gene_id","wald_stat"
"ENSG00000100767",22.4844916318632
"ENSG00000197872",22.1007575586708
"ENSG00000107104",19.2828872593786
"ENSG00000165731",18.8975120682819
"ENSG00000198758",18.7555967076194
"ENSG00000111305",17.7594811047136
"ENSG00000099834",17.59513093865
"ENSG00000128268",17.5120272198575
"ENSG00000174358",17.151856725989
"ENSG00000158813",16.9860251804175
"ENSG00000162545",16.8768212883872
"ENSG00000053438",16.5064482891216
"ENSG00000138735",16.0325641747469
"ENSG00000167588",15.6423908774746
"ENSG00000149328",15.2830089567109
"ENSG00000103647",14.9433144273565
"ENSG00000135318",14.8666786655
"ENSG00000164120",14.6332516388749
"ENSG00000188158",14.5193730506313
"ENSG00000101194",14.375356427482
"ENSG00000074276",14.292340234485
"ENSG00000171234",14.1079778002506
"ENSG00000214039",14.0659481322413
"ENSG00000226416",13.9828552284546
"ENSG00000162078",13.9527808041832
"ENSG00000159674",13.8423144053364
"ENSG00000278970",13.7531878110341
"ENSG00000275718",13.6827196196494
"ENSG00000234840",13.6617352005596
"ENSG00000105963",13.4800679315515
"ENSG00000142484",13.4798383276449
"ENSG00000110665",13.4416662493399
"ENSG00000187017",13.4187676979377
"ENSG00000160180",13.1047967022786
"ENSG00000278195",13.0821740100252
"ENSG00000142661",13.0213237798742
"ENSG00000185404",12.9940393914305
"ENSG00000185215",12.913969578846
"ENSG00000166959",12.861108053918
"ENSG00000129757",12.8008002198252
"ENSG00000243364",12.7148454979831
"ENSG00000186480",12.7039618246305
"ENSG00000188177",12.596269647492
"ENSG00000165507",12.5907241766682
"ENSG00000161013",12.3553203704855
"ENSG00000101695",12.2659717997691
"ENSG00000172367",12.2530524791897
"ENSG00000163050",12.1561636958698
"ENSG00000180745",12.1223311071006
"ENSG00000119973",12.038560034356
"ENSG00000140057",12.0336347769604
"ENSG00000095981",12.0302491981202
"ENSG00000130021",11.9661507386563
"ENSG00000177106",11.8936614080274
"ENSG00000131446",11.8499683479949
"ENSG00000139540",11.8414145726133
"ENSG00000160282",11.8280526913277
"ENSG00000005471",11.821212241009
"ENSG00000076351",11.7451767853943
"ENSG00000157259",11.741652484131
"ENSG00000157514",11.7208122923377
"ENSG00000213853",11.5839887883021
"ENSG00000158710",11.5789739648669
"ENSG00000141434",11.5529141704468
"ENSG00000133116",11.5515045759333
"ENSG00000135047",11.5437308076363
"ENSG00000285865",11.5076265632881
"ENSG00000085563",11.4899833555654
"ENSG00000197085",11.3906071623807
"ENSG00000111907",11.3608497775288
"ENSG00000102265",11.3291365505733
"ENSG00000169554",11.1832421038067
"ENSG00000198944",11.0432209499305
"ENSG00000147419",10.9310694012273
"ENSG00000033170",10.9300997154714
"ENSG00000227508",10.9017578890288
"ENSG00000161921",10.8736235863396
"ENSG00000006453",10.8296716770052
"ENSG00000165841",10.746565858237
"ENSG00000198873",10.7440313010846
"ENSG00000105784",10.7293060027158
"ENSG00000183134",10.7235599727259
"ENSG00000196154",10.7117190577085
"ENSG00000165533",10.685772347614
"ENSG00000119630",10.6604889360542
"ENSG00000056998",10.6456012991707
"ENSG00000257335",10.6004174044603
"ENSG00000004864",10.5927307459064
"ENSG00000196932",10.5773837650784
"ENSG00000070669",10.5624219740176
"ENSG00000115457",10.5597695365592
"ENSG00000091262",10.5493212657745
"ENSG00000170775",10.5476789612453
"ENSG00000118231",10.5458086490603
"ENSG00000008441",10.5285625346449
